;year;dia;mes;valor
0;2019;1.0;ene;
1;2019;2.0;ene;694.77
2;2019;3.0;ene;697.09
3;2019;4.0;ene;697.64
4;2019;5.0;ene;
5;2019;6.0;ene;
6;2019;7.0;ene;688.42
7;2019;8.0;ene;679.69
8;2019;9.0;ene;680.1
9;2019;10.0;ene;678.09
10;2019;11.0;ene;677.58
11;2019;12.0;ene;
12;2019;13.0;ene;
13;2019;14.0;ene;675.15
14;2019;15.0;ene;674.95
15;2019;16.0;ene;673.76
16;2019;17.0;ene;672.73
17;2019;18.0;ene;671.37
18;2019;19.0;ene;
19;2019;20.0;ene;
20;2019;21.0;ene;670.1
21;2019;22.0;ene;672.42
22;2019;23.0;ene;672.26
23;2019;24.0;ene;672.41
24;2019;25.0;ene;672.14
25;2019;26.0;ene;
26;2019;27.0;ene;
27;2019;28.0;ene;667.04
28;2019;29.0;ene;671.29
29;2019;30.0;ene;669.6
30;2019;31.0;ene;666.76
31;2020;1.0;ene;
32;2020;2.0;ene;748.74
33;2020;3.0;ene;754.16
34;2020;4.0;ene;
35;2020;5.0;ene;
36;2020;6.0;ene;758.49
37;2020;7.0;ene;771.82
38;2020;8.0;ene;773.12
39;2020;9.0;ene;766.83
40;2020;10.0;ene;764.69
41;2020;11.0;ene;
42;2020;12.0;ene;
43;2020;13.0;ene;770.56
44;2020;14.0;ene;777.66
45;2020;15.0;ene;772.29
46;2020;16.0;ene;772.01
47;2020;17.0;ene;773.36
48;2020;18.0;ene;
49;2020;19.0;ene;
50;2020;20.0;ene;771.38
51;2020;21.0;ene;769.93
52;2020;22.0;ene;770.5
53;2020;23.0;ene;772.12
54;2020;24.0;ene;771.94
55;2020;25.0;ene;
56;2020;26.0;ene;
57;2020;27.0;ene;776.52
58;2020;28.0;ene;787.86
59;2020;29.0;ene;788.13
60;2020;30.0;ene;788.18
61;2020;31.0;ene;797.96
62;2019;1.0;feb;657.81
63;2019;2.0;feb;
64;2019;3.0;feb;
65;2019;4.0;feb;655.39
66;2019;5.0;feb;653.8
67;2019;6.0;feb;652.78
68;2019;7.0;feb;653.9
69;2019;8.0;feb;654.44
70;2019;9.0;feb;
71;2019;10.0;feb;
72;2019;11.0;feb;656.46
73;2019;12.0;feb;660.82
74;2019;13.0;feb;660.49
75;2019;14.0;feb;661.6
76;2019;15.0;feb;665.9
77;2019;16.0;feb;
78;2019;17.0;feb;
79;2019;18.0;feb;663.98
80;2019;19.0;feb;660.82
81;2019;20.0;feb;658.75
82;2019;21.0;feb;654.52
83;2019;22.0;feb;654.33
84;2019;23.0;feb;
85;2019;24.0;feb;
86;2019;25.0;feb;651.36
87;2019;26.0;feb;649.22
88;2019;27.0;feb;649.8
89;2019;28.0;feb;649.92
90;2019;29.0;feb;
91;2019;30.0;feb;
92;2019;31.0;feb;
93;2020;1.0;feb;
94;2020;2.0;feb;
95;2020;3.0;feb;799.11
96;2020;4.0;feb;790.92
97;2020;5.0;feb;781.78
98;2020;6.0;feb;776.99
99;2020;7.0;feb;779.12
100;2020;8.0;feb;
101;2020;9.0;feb;
102;2020;10.0;feb;788.8
103;2020;11.0;feb;795.88
104;2020;12.0;feb;792.48
105;2020;13.0;feb;788.33
106;2020;14.0;feb;795.12
107;2020;15.0;feb;
108;2020;16.0;feb;
109;2020;17.0;feb;792.73
110;2020;18.0;feb;791.95
111;2020;19.0;feb;796.9
112;2020;20.0;feb;797.4
113;2020;21.0;feb;804.74
114;2020;22.0;feb;
115;2020;23.0;feb;
116;2020;24.0;feb;809.82
117;2020;25.0;feb;810.2
118;2020;26.0;feb;807.96
119;2020;27.0;feb;811.1
120;2020;28.0;feb;816.26
121;2020;29.0;feb;
122;2020;30.0;feb;
123;2020;31.0;feb;
124;2019;1.0;mar;651.79
125;2019;2.0;mar;
126;2019;3.0;mar;
127;2019;4.0;mar;656.57
128;2019;5.0;mar;659.07
129;2019;6.0;mar;657.49
130;2019;7.0;mar;658.4
131;2019;8.0;mar;662.19
132;2019;9.0;mar;
133;2019;10.0;mar;
134;2019;11.0;mar;670.83
135;2019;12.0;mar;669.37
136;2019;13.0;mar;667.09
137;2019;14.0;mar;665.68
138;2019;15.0;mar;670.62
139;2019;16.0;mar;
140;2019;17.0;mar;
141;2019;18.0;mar;669.39
142;2019;19.0;mar;667.21
143;2019;20.0;mar;664.78
144;2019;21.0;mar;666.13
145;2019;22.0;mar;665.12
146;2019;23.0;mar;
147;2019;24.0;mar;
148;2019;25.0;mar;676.6
149;2019;26.0;mar;679.08
150;2019;27.0;mar;679.02
151;2019;28.0;mar;683.73
152;2019;29.0;mar;681.09
153;2019;30.0;mar;
154;2019;31.0;mar;
155;2020;1.0;mar;
156;2020;2.0;mar;818.32
157;2020;3.0;mar;817.45
158;2020;4.0;mar;809.81
159;2020;5.0;mar;812.19
160;2020;6.0;mar;823.28
161;2020;7.0;mar;
162;2020;8.0;mar;
163;2020;9.0;mar;828.95
164;2020;10.0;mar;841.06
165;2020;11.0;mar;834.22
166;2020;12.0;mar;835.48
167;2020;13.0;mar;852.06
168;2020;14.0;mar;
169;2020;15.0;mar;
170;2020;16.0;mar;836.66
171;2020;17.0;mar;850.51
172;2020;18.0;mar;855.09
173;2020;19.0;mar;862.69
174;2020;20.0;mar;867.83
175;2020;21.0;mar;
176;2020;22.0;mar;
177;2020;23.0;mar;851.01
178;2020;24.0;mar;861.07
179;2020;25.0;mar;847.04
180;2020;26.0;mar;843.96
181;2020;27.0;mar;836.05
182;2020;28.0;mar;
183;2020;29.0;mar;
184;2020;30.0;mar;835.23
185;2020;31.0;mar;846.3
186;2019;1.0;abr;678.53
187;2019;2.0;abr;672.56
188;2019;3.0;abr;670.05
189;2019;4.0;abr;667.55
190;2019;5.0;abr;666.32
191;2019;6.0;abr;
192;2019;7.0;abr;
193;2019;8.0;abr;664.17
194;2019;9.0;abr;663.01
195;2019;10.0;abr;663.15
196;2019;11.0;abr;662.92
197;2019;12.0;abr;664.19
198;2019;13.0;abr;
199;2019;14.0;abr;
200;2019;15.0;abr;660.67
201;2019;16.0;abr;662.86
202;2019;17.0;abr;663.98
203;2019;18.0;abr;660.48
204;2019;19.0;abr;
205;2019;20.0;abr;
206;2019;21.0;abr;
207;2019;22.0;abr;662.27
208;2019;23.0;abr;663.91
209;2019;24.0;abr;668.19
210;2019;25.0;abr;672.83
211;2019;26.0;abr;676.21
212;2019;27.0;abr;
213;2019;28.0;abr;
214;2019;29.0;abr;673.86
215;2019;30.0;abr;677.67
216;2019;31.0;abr;
217;2020;1.0;abr;852.03
218;2020;2.0;abr;863.81
219;2020;3.0;abr;861.89
220;2020;4.0;abr;
221;2020;5.0;abr;
222;2020;6.0;abr;863.99
223;2020;7.0;abr;853.91
224;2020;8.0;abr;842.05
225;2020;9.0;abr;851.9
226;2020;10.0;abr;
227;2020;11.0;abr;
228;2020;12.0;abr;
229;2020;13.0;abr;839.49
230;2020;14.0;abr;844.57
231;2020;15.0;abr;848.63
232;2020;16.0;abr;859.31
233;2020;17.0;abr;852.52
234;2020;18.0;abr;
235;2020;19.0;abr;
236;2020;20.0;abr;849.45
237;2020;21.0;abr;856.23
238;2020;22.0;abr;862.06
239;2020;23.0;abr;856.51
240;2020;24.0;abr;858.87
241;2020;25.0;abr;
242;2020;26.0;abr;
243;2020;27.0;abr;859.95
244;2020;28.0;abr;856.76
245;2020;29.0;abr;850.41
246;2020;30.0;abr;836.62
247;2020;31.0;abr;
248;2019;1.0;may;
249;2019;2.0;may;678.71
250;2019;3.0;may;683.31
251;2019;4.0;may;
252;2019;5.0;may;
253;2019;6.0;may;678.68
254;2019;7.0;may;681.09
255;2019;8.0;may;683.49
256;2019;9.0;may;684.51
257;2019;10.0;may;686.43
258;2019;11.0;may;
259;2019;12.0;may;
260;2019;13.0;may;685.67
261;2019;14.0;may;693.04
262;2019;15.0;may;692.33
263;2019;16.0;may;692.62
264;2019;17.0;may;692.79
265;2019;18.0;may;
266;2019;19.0;may;
267;2019;20.0;may;696.61
268;2019;21.0;may;
269;2019;22.0;may;697.23
270;2019;23.0;may;696.7
271;2019;24.0;may;698.03
272;2019;25.0;may;
273;2019;26.0;may;
274;2019;27.0;may;694.84
275;2019;28.0;may;696.46
276;2019;29.0;may;703.48
277;2019;30.0;may;708.2
278;2019;31.0;may;707.86
279;2020;1.0;may;
280;2020;2.0;may;
281;2020;3.0;may;
282;2020;4.0;may;837.92
283;2020;5.0;may;838.74
284;2020;6.0;may;832.84
285;2020;7.0;may;839.08
286;2020;8.0;may;836.27
287;2020;9.0;may;
288;2020;10.0;may;
289;2020;11.0;may;827.65
290;2020;12.0;may;826.05
291;2020;13.0;may;821.88
292;2020;14.0;may;820.38
293;2020;15.0;may;822.93
294;2020;16.0;may;
295;2020;17.0;may;
296;2020;18.0;may;823.86
297;2020;19.0;may;820.65
298;2020;20.0;may;819.08
299;2020;21.0;may;
300;2020;22.0;may;806.17
301;2020;23.0;may;
302;2020;24.0;may;
303;2020;25.0;may;805.75
304;2020;26.0;may;803.74
305;2020;27.0;may;802.1
306;2020;28.0;may;816.47
307;2020;29.0;may;812.74
308;2020;30.0;may;
309;2020;31.0;may;
310;2019;1.0;jun;
311;2019;2.0;jun;
312;2019;3.0;jun;709.8
313;2019;4.0;jun;704.59
314;2019;5.0;jun;696.78
315;2019;6.0;jun;693.25
316;2019;7.0;jun;692.21
317;2019;8.0;jun;
318;2019;9.0;jun;
319;2019;10.0;jun;692.28
320;2019;11.0;jun;697.34
321;2019;12.0;jun;693.6
322;2019;13.0;jun;694.89
323;2019;14.0;jun;696.25
324;2019;15.0;jun;
325;2019;16.0;jun;
326;2019;17.0;jun;698.72
327;2019;18.0;jun;699.52
328;2019;19.0;jun;696.81
329;2019;20.0;jun;693.99
330;2019;21.0;jun;684.19
331;2019;22.0;jun;
332;2019;23.0;jun;
333;2019;24.0;jun;683.41
334;2019;25.0;jun;682.31
335;2019;26.0;jun;678.32
336;2019;27.0;jun;680.06
337;2019;28.0;jun;679.86
338;2019;29.0;jun;
339;2019;30.0;jun;
340;2019;31.0;jun;
341;2020;1.0;jun;806.32
342;2020;2.0;jun;796.46
